"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
110413																																		231	186	0	0	231	0		0	0	186	0	0	4241	1	231	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					17	1788	0	0	0	0	0	0																					www.suttonbank.com	
110936																																		10488	0	0	10488	0	2833		0	0	0	0	0	40	0	0			0	0	0	0	2833	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																					http://www.bbamericas.com	
110945																																		0	47	1037	0	0	3376		0	0	0	0	47	368	0	0			0	1037	1135	239	965	0	0	0	0	0	0	0					0	0																					2	36	0	0	0	0	0	0																						
110972																																		120	0	0	120	0	0		0	0	0	0	0	573	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
111157																																		0	0	4000	0	0	10750		0	0	0	0	0	4730	1	0	false	0	0	4000	1200	0	5550	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																					https://www.bankoflindsay.com	
111205																																		547	0	1451	0	547	9759		0	0	0	0	0	363	0	547			0	1451	6426	1458	424	0	0	0	0	0	0	0					17850	0																					26	1975	0	0	0	0	0	0																						
111942																																		2197	912	5000	0	2169	5114		0	0	0	0	912	6157	2	2169			35	5000	0	0	0	0	35	0	79	0	0	114					56	28																					5	1724	0	0	0	0	0	0																						
111979																																		1389	647	0	1389	0	0		0	500	147	0	0	1260	1	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					2	25	0	0	0	0	0	0																						
112163																																		35413	0	1500	32160	1004	7500		0	0	0	0	0	38616	6	1004	false	0	0	1500	6000	0	0	0	0	0	0	0	0	0	true	false	0	0	0	2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					226	19302	0	0	0	0	0	0																					www.gnty.com	
112332																																		306	494	0	0	0	0		235	0	259	0	0	83	0	0			0	0	0	0	0	0	0	0	0	0	0	0						306																					9	190	0	0	0	0	0	0																						
