"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
944047			3606	30	22	0	3589	35	0																						
944337			1758	30	9	0	1728	9	0																						
944355			19060	3021	232	0	19039	3232	0				0																		
944627			4657	130	24	0	4535	32	0																						
944739			783	0	4	0	784	5	0																						
944748			1087	0	5	0	1082	0	0																						
944935			328	0	0	0	328	0	0																						
945026			2115	14	10	0	2093	2	0				0																		
945053			26625	0	29	0	26654	58	0			0	0																		
945071			2782	0	76	0	2716	10	0																						
945950			694	0	0	0	694	0	0																						
946274			1456	45	1	0	1414	4	0																						
946555			3904	0	7	0	3920	23	0																						
947525			3057	0	159	0	3042	144	0																						
947749			7434	303	3	0	7133	5	0																						
947776			1418	45	0	0	1387	0	-14																						
948036		0	1026	-11	0	0	870	0	167					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	
948250			1710	53	48	0	1661	52	0																						
948278			444	0	0	0	444	0	0																						
948531			2170	0	1	0	2169	0	0																						
949154			39349	900	1329	0	38718	1598	0				0																		
949453			300	0	0	0	300	0	0																						
950141			6105	75	95	0	5989	54	0				0																		
950178			10083	1900	12	0	8552	381	0																						
950356			923	1	0	0	927	5	0																						
950758			2316	75	5	0	2237	1	0				0																		
951102			6531	5	9	0	6546	29	0																						
952172			4357	121	0	0	4236	0	0				0																		
952257			667	0	0	0	667	0	0																						
952677			18208	0	37	0	18210	39	0																						
952846			1426	15	0	0	1414	3	0																						
953535			5842	126	6	0	5777	67	0																						
953843			2858	60	8	0	2791	1	0																						
953852			1069	5	8	0	1059	3	0																						
954158			338	0	0	0	411	73	0																						
954251			1834	5	24	0	1826	21	0			0	0																		
954279			8416	0	2	0	8417	3	0																						
954653			1145	0	0	0	1145	0	0																						
954671			2140	0	10	0	2150	20	0																						
955548			3085	45	8	0	3045	13	0																						
955753			1233	0	2	0	1231	0	0																						
955940			2357	70	9	0	2284	6	0																						
955959		0	3363	-100	102	0	3562	1	-200					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
955977			5835	505	2	0	5328	0	0																						
956134			1125	15	0	0	1110	0	0																						
956152			754	29	2	0	724	1	0																						
956255			2846	0	6	0	2840	0	0																						
956358			813	45	13	0	782	27	0																						
