"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
989851																																							6553	2600	52044	0	0	337	0	2443	99793	90237	698	90935	0	567	0	0	8858	500	99793	0	0	6153	0	0	5750	0	27533	62704			0	36383	35816	-3545	0	0	0	0	8858	0	0	
990053																																							41838	5689	25380	0	0	918	0	698	202475	184350	527	184877	0	1545	0	0	17598	150	202475	0	0	6089	0	0	12350	0	67965	116385			0	128055	126510	-991	0	0	0	0	17598	0	1442	
990352																																							487	8515	188747	0	11394	10447	1718	30477	825941	679095	1224	748272	0	6319	52689	0	77669	20000	825941	0	0	41587	0	0	29400	0	134928	544167			0	534299	527980	-13318	46176	0	0	15264	77669	0	0	
990642																																							13089	5394	89112	0	267	4681	0	13818	340955	312731	2798	316201	0	2479	672	0	24754	450	340955	0	0	26845	0	0	4745	159	74327	238404			0	216914	214435	-7286	0	0	0	0	24754	0	0	
991078																																							10554	600	0	0	0	400	0	2327	61660	44428	451	56246	0	430	11367	0	5414	0	61660	0	0	5414	0	0	0	0	3474	40954			0	39706	39276	0	0	0	0	0	5414	0	8503	
991135																																							18434	1175	25191	0	0	1962	524	1663	108910	100297	244	100541	0	998	0	0	8369	930	108910	0	0	7955	0	0	2070	0	33976	66321			0	60959	59961	-2586	0	0	0	0	8369	0	0	
991340																																							169252	116915	1836389	0	87660	67786	0	309861	8025171	6745398	84878	7128424	54416	132865	24551	0	842331	2818	8025171	13432	13686	672710	0	0	273814	5525	2032568	4712830			0	5551216	5418351	-107011	0	0	0	259911	896747	0	0	
991359																																							48424	2006	4945	0	0	1940	95	7866	225560	203725	456	204181	0	2836	0	0	21379	525	225560	0	0	12111	0	0	8859	0	52564	151161			0	163120	160284	-116	0	0	0	0	21379	0	0	
991555																																							182	3059	134812	0	0	1220	0	6093	218949	207223	309	207829	0	1592	0	0	11120	1200	218949	0	0	13627	0	0	6782	0	38879	168344			0	75175	73583	-10489	0	0	297	0	11120	0	0	
991621																																							505	10549	201260	0	0	8278	1423	21790	579078	518431	3958	526923	0	2401	0	0	52155	1224	579078	0	0	62324	0	0	193	0	132249	386182			0	211802	209401	-11586	125872	0	0	4534	52155	0	0	
