"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
56258	0	0					8	0	150303					0	0	0			0	33438	0	0										0		
56351	0	0					10373	305301	589531					0	0	0			175524	212789	0	0										0		
56548	0	0					3153	0	85053					11000	0	0			0	0	0	0										46		
56717	0	2263					2350	0	222878					20724	0	0			0	84785	0	0										0		
57040	0	37912					275	0	44210					0	0	0			0	3330	0	0										0		
57451	0	135736					737	0	410961					18600	0	0			0	109378	0	8359										1058		
58225	0	33300					644	0	113160					0	0	0			0	28402	0	320										0		
58243	19472	0					26985	729965	222667					0	0	0			50215	51945	0	1110										0		
58355	0	8829					213	0	8829					0	0	0			0	0	0	0										0		
58551	0	0					0	0	75312					0	0	0			0	44472	0	0										0		
58636	0	0					1507	0	122410					0	0	0			0	40861	0	0										0		
58757	0	21921					1561	0	74113					10095	0	0			0	18083	0	0										56		
58971	583865	189482					10060	3169262	569470					0	0	0			3482	3942	0	227483										0		
59316	0	31299					2396	0	440877					4412	0	0			0	140268	0	70427										0		
59352	0	4582					118	8480	165950					0	0	0			0	105773	0	0										0		
59370	0	484					271	1416	23924					0	0	0			0	6039	0	0										24		
59754	0	0					478	0	1621					2131	0	0			0	1621	0	0										0		
60143	0	2800000	0	0	0	0	555000	0	20827000	159000	86322000	0	80041000	634000	1298000	570000	0	0	0	0	0	0	0	13970000	0	4057000	0	0	0	0	0	43000	0	
60330	0	2770					960	0	188210					123	0	0			0	36241	30300	0										0		
60545	0	4463					763	0	83523					8000	0	0			0	54174	0	0										0		
60554	0	9154					242	0	13589					1035	0	0			0	2157	0	0										37		
60648	0	16950					712	2779	120290					0	0	0			2779	46467	0	0										0		
61122	37076	0					1027	240588	117888					0	0	0			22529	8323	0	51014										0		
61355	0	141223					6126	286532	273744					0	0	0			96691	89038	0	19577										0		
61476	0	0					4268	0	49636					19500	0	0			0	10165	0	0										0		
61757	19015	11855					1529	63319	15310					0	0	0			2221	1466	0	0										0		
61832	0	3875					1330	0	245021					0	0	0			0	148311	0	0										0		
61953	0	7899					254	1548	47137					0	0	0			1425	19514	0	0										0		
62044	0	0					401	0	1282					40	0	0			0	0	0	0										0		
62110	100	0					126	100	0					0	0	0			0	0	0	0										12791		
62147	0	982					114	500	38971					0	0	0			0	22057	0	0										0		
63050	0	2208					25	0	98171					0	0	0			0	62276	0	0										0		
63069	100	672361	0	0	0	0	170530	5354682	19149255	0	91119374	0	84505902	1291437	359864	498369	634779	1609481	447565	389	0	0	447157	262017	3825081	14796241	0	0	0	1808766	0	82842	0	
63201	0	3300					595	4068	65379					4500	0	0			4068	31890	0	0										0		
63573	0	0					1729	0	69915					590	0	0			0	0	0	0										0		
63733	0	37297					4124	0	419324					17548	0	0			0	95083	0	0										89		
63742	0	24510					812	0	57199					5896	0	0			0	11912	0	0										0		
64150	0	3260					1010	14708	128731					1279	0	0			14708	61147	0	0										0		
64552	0	0					701	0	31088					0	0	0			0	1644	0	0										0		
64730	0	0					120	0	126192					0	0	0			0	929	0	0										0		
65205	0	0					906	0	191831					0	0	0			0	1215	0	0										24269		
65513	0	0	0	0	0	0	375	78344	1065	0	493055	0	442195	131350			0	0	0	1065	0	0	0	0	0	0	34231	0	44113	0		0		
65559	0	32595					0	0	508127					0	0	0			0	136438	0	0										0		
65858	0	5861					975	0	697560					21	0	0			0	139718	0	0										0		
66154	0	0					1300	0	29073					5082	0	0			0	14211	0	0										0		
66275	0	0					1344	0	18038					30000	0	0			0	6438	0	0										48		
66677	0	0					4231	0	7013					16000	0	0			0	0	0	0										0		
67142	0	0					2395	0	47862					17000	0	0			0	47231	0	0										0		
67151	0	4720					2071	4514	406835					18300	0	0			0	133291	0	0										0		
67209	0	1936					4220	0	128076					93206	7241	7241			0	3876	0	0										8485		
67254	0	0					0	0	101					0	0	0			0	0	0	0										0		
67656	19952	0					1572	164137	148550					0	0	0			49932	65844	0	0										0		
67870	0	9546					926	0	46243					0	0	0			0	7374	0	0										0		
68671	0	0					454	0	0					0	0	0			0	0	0	0										0		
68756	0	25197					1748	15500	130837					0	0	0			0	20821	100095	0										0		
