"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONFT17	RCONFT18	RCONFT19	RCONFT20	RCONFT21	RCONFT22	RCONHK18	RCONHK19	RCONK102	RCONK103	RCONK104	RCONK192	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	DOES THE INSTITUTION HAVE ASSETS COV	LOANS AND LEASES COVERED BY LOSS SHA	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	OTHER REAL ESTATE OWNED COVERED BY F	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	ASSET CVR LS SHR FDIC OREO PRTN PROT	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
58636	10000	0		true	0	0	false			false	false		false		false		false			false	false																	
58757				false			false			false	false		false		false		false			false	false																	
58971	195133	0						155096	28572																				0	0	0	0						
59316	24045	0		true	0	0	false			false	false		false		true	72474	false			false	false																	
59352	0	0																											0	0	0	0						
59370				false			false			false	false		false		false		false			false	false																	
59754				false			false			false	false		false		false		false			false	false																	
60143								73000	5000																													
60330	50890	0						0	0																				0	0	0	0						
60545				false			false			false	false		false		false		false			false	false																	
60554				false			false			false	false		false		false		false			false	false																	
60648				false			false			false	false		false		true	66030	false			false	false																	
61122	11778	0						24279	3546																				0	0	0	0						
61355	122028	0		true	0	0	true	184794	7115	false	false		false		true	854477	false			false	false																	
61476				false			false			false	false		true	32361	true	46172	false			false	false																	
61757	0	0						14950	916																				0	0	0	0						
61832				false			false			false	false		false		false		false			false	false																	
61953				false			false			false	false		false		false		false			false	false																	
62044				false			false			false	false		false		true	817	false			false	false																	
62110				false			false			false	false		false		false		false			false	false																	
62147				false			false			false	false		true	84	true	52680	false			false	false																	
63050				false			false			false	false		false		false		false			false	false																	
63069																																				28620	0	
63201				false			false			false	false		false		false		false			false	false																	
63573				false			false			false	false		false		true	50365	false			false	false																	
63733	0	0																											0	0	0	0						
63742	56473	0		true	0	0	true	54217	2032	false	false		true	873	true	329119	false			false	false																	
63751	0	0																											0	0	0	0						
64150				false			true	48527	3258	false	false		false		false		false			false	false																	
64552	109436	0						139152	34937																				0	0	0	0						
64730				false			false			false	false		false		false		false			false	false																	
65205				false			false			false	false		true	109	true	109	false			false	false																	
65513																																						
65559	0	0						21459	3082																				0	0	0	0						
65746	0	29448						46738	7779																				0	0	0	0						
65858	50000	0		true	0	0	false			false	false		true	742	true	125	false			false	false																	
66154				false			false			false	false		false		false		false			false	false																	
66275				false			false			false	false		false		true	70	false			false	false																	
66677	70433	0						128929	13345																				0	0	0	0				-649	0	
67142				false			false			false	false		false		false		false			false	false																	
67151	86762	0		true	0	0	false			false	false		false		false		false			false	false																	
67209	50388	192078		true	0	39733	true	12134	624	false	false		true	69763	true	97938	false			false	false																	
67254				false			false			false	false		false		false		false			false	false																	
67656	0	0																											0	0	0	0						
67870				false			false			false	false		false		true	622	false			false	false																	
68671	15000	0		true	0	0	false			false	false		false		false		false			false	false																	
68756	2885	0						0	0																				0	0	0	0						
68831				false			false			false	false		false		false		false			false	false																	
69333	934	0						34526	0																				0	0	0	0						
