"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
339858		0	388640	222460	9011	0	210759	79399	25809					0	0	-364	1052	0	688	0	0	0	0	0	0	0	0	0	
339876			176	29	0	0	147	0	0																				
340135			11151	3990	349	0	7802	990	0			0	0																
340144			10835	5575	32	0	6939	1711	0																				
340256			3638	1215	6	0	2431	14	0																				
340443			320	10	9	0	307	6	0																				
340742			9106	1058	439	0	7987	378	0			0	0																
340751			11939	4250	600	0	7668	579	0																				
341310			5571	1301	68	0	4757	555	0																				
342054			3126	380	162	0	2859	275	0																				
342362			3033	1363	13	0	1761	104	0			0	0																
342410			20151	5325	1182	0	14655	1011	0			0	257																
342634		0	117306	36113	9608	0	85092	11475	-2032			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
343051		0	376	203	7	0	334	168	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
343248			300	0	0	0	322	22	0			0	0																
343257			314	12	0	0	324	22	0																				
343770			454	0	1	0	458	5	0																				
343903			4933	1110	35	0	3870	82	0																				
343958			1175	150	77	0	1123	175	0																				
344647			12157	2400	75	0	11788	2106	0				0																
344816			2650	440	104	0	2358	252	0			0	0																
344852			550	0	12	0	547	9	0																				
345309			8977	1165	78	0	7891	157	0			0	0																
345345			5050	200	6	0	4858	14	0				0																
345747			6692	878	88	0	5856	130	0			0	0																
345756			6686	3800	12	0	2908	34	0				0																
345877			4545	1448	499	0	3422	824	0																				
346379			1936	362	36	0	1583	45	0																				
346566			562	0	26	0	536	0	0																				
346771			990	50	10	0	944	14	0																				
347022			1662	36	6	0	1678	58	0																				
347639			5751	2650	213	0	3453	565	0																				
347956			9005	4967	226	0	6354	2542	0			0	0																
348159			1949	170	164	0	1746	131	0																				
348720			9493	1740	279	0	7809	335	0																				
349129			1111	113	13	0	1059	74	0																				
349343			1874	460	28	0	1425	39	0																				
350572		0	892	190	0	0	704	2	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
350657			106	103	14	0	223	234	0																				
350750			2047	330	2	0	1723	8	0																				
351131			211	-26	10	0	240	13	0				0	0	0	0		0		0		0							
351560			4129	675	0	0	3454	0	0																				
351878			479	10	19	0	512	62	0																				
352370			842	0	104	0	787	49	0																				
352651			698	345	0	-251	353	251	0																				
352745			1812	600	50	0	1318	156	0																				
352772		0	164434	63661	6244	0	98073	11580	8036					0	0	32	61	0	93	0	0	0	0	0	0	0	0	0	
353238			3998	545	66	0	3498	111	0																				
353546			890	60	15	0	828	13	0																				
353555			58715	41800	4177	0	49595	36857	0				0																
353724			2963	250	379	0	2349	15	0																				
353957			1039	0	26	0	1015	2	0																				
354057			289	20	0	0	269	0	0																				
354253			575	11	18	0	603	57	0																				
354310		0	83044	39439	1251	0	35331	5899	12922					0	0	0	0	0	0	0	0	570	299	0	869	0	0	785	
354552			2860	497	4	0	2377	18	0																				
354851			1203	210	38	0	1264	309	0																				
355120			5921	900	342	0	4856	177	0																				
355559			5501	1960	95	0	3593	147	0																				
355858			63548	38741	4064	0	55719	34976	0				0																
356239			3163	1110	461	0	2683	1091	0																				
356659			3840	700	200	0	3594	654	0																				
356752			369	200	29	0	213	73	0																				
357151			958	0	24	0	973	39	0																				
357526			1413	445	21	0	980	33	0																				
