"IDRSSD"	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
2505424																					
2505451																					
2505460																					
2506328																					
2508751	37006	187899	313933	691662	0	570810	1801310	336	3524	3220	3060	0	90	0	10230	3	0	0	0	3	
2512347																					
2515320																					
2524797																					
2529176																					
2531562																					
2531991																					
2533043																					
2533119																					
2536633																					
2539960																					
2562137																					
2562164																					
2567123																					
2568063																					
2576134																					
2577739																					
2580243																					
2587916																					
2594240																					
2594419																					
2596646	174516	550991	396401	287289	4517	75140	1488854	2034	4880	3001	2800	158	545	4044	17462						
2597223																					
2598396																					
2600039																					
2602828																					
2605566																					
2607412																					
2608754																					
2610784																					
2614344																					
2615190																					
2615220																					
2618780	874400	4354640	312129	18392695	0	0	23933864	3017	73303	2347	142844	0	0	0	221511	0	0	0	0	0	
2619714																					
2621285																					
2621940																					
2624400	55883	206383	119409	462116	0	194809	1038600	695	2835	1438	1823	0	104	0	6895	3	0	0	0	3	
2625724																					
2631172																					
2631846																					
2634191	1281997	4919938	2136832	2706645	1726	190910	11238048	44027	54335	23183	27769	1	2133	0	151448	0	0	0	0	0	
2634351	7952	521941	170859	533637	0	3938	1238327	110	8630	2801	5205	0	56	4	16806						
2641827																					
2642598																					
2643595																					
2649122	108794	638924	110974	418354	935	9587	1287568	2147	5101	1849	5265	14	156	0	14532	4	0	0	0	4	
2649177																					
2651899																					
2652092	1421711	3991495	303054	1542265	0	1033	7259558	16584	49738	4906	21291	0	41	0	92560	0	0	0	0	0	
2654911	0	0	1213844	0	0	85	1213929	0	0	2955	0	0	0	0	2955	0	0	0	0	0	
2661861																					
2666400	16883	170787	33406	193742	0	471727	886545	194	2349	144	3588	0	4229	0	10504						
2667920																					
2667939																					
2667957																					
2668598																					
2684552																					
2686211																					
2687133																					
2687487																					
2692753																					
2693264	76637	329462	311740	807547	0	584124	2109510	1505	4649	2924	2432	0	137	0	11647	6	0	0	0	6	
2694681	150907	1528333	65888	147134	0	5071	1897333	1826	17673	630	1286	0	9	0	21424						
2694944																					
2696180																					
2697963																					
2700984																					
2702764																					
2705112																					
2705895	301139	1213361	552449	594509	0	37352	2698810	4063	17852	3143	10545	0	1770	0	37373						
2708122	96421	406511	431085	160473	423	71248	1166161	241	2388	1562	133	1	1197	0	5522						
2710554																					
2713920																					
2716088																					
2716828																					
2717012	11856	373007	191436	458035	0	79114	1113448	161	2758	306	12286	0	1757	0	17268						
2718596																					
2719810																					
2723376																					
2724766																					
2726050																					
2728661																					
2728746																					
2729677																					
2730431																					
2732565																					
2733263																					
2734729																					
2735137																					
2735146																					
2736219																					
2736291	745692	4162098	1289877	1582990	31	133894	7914582	10365	74726	20903	8647	0	9296	0	123937	0	0	0	0	0	
2736451																					
2736714																					
2737980																					
2743244																					
2744782																					
2745426																					
2745529																					
2746245																					
2746263																					
2747279																					
2747466																					
2747587	40570	86376	107469	42029	0	13958	290402	1261	2515	3852	1310	0	197	1137	10272						
2748502																					
2749059																					
2753917																					
2754222																					
2754389																					
2756730																					
2756909																					
2757205																					
2758024																					
2758613	123148	1125448	196633	1238898	0	279183	2963310	1357	12555	657	11324	0	2173	0	28066						
2759629																					
2760232																					
2764212																					
2765602																					
2769570																					
2769954																					
2771694																					
2774707																					
2775151																					
2775179																					
2775692																					
2785477																					
2785646																					
2787770																					
2788656																					
2791085																					
2791517																					
2793593																					
2794732																					
2796277																					
2797162																					
2797210																					
2797359																					
2797724	1029812	4386498	1557624	2104799	0	344845	9423578	18236	44700	31656	9729	0	3809	0	108130	10	0	0	87	97	
2800491																					
2805535																					
2805928																					
2806635																					
2806840																					
2806877																					
2807173																					
2808602																					
2809373																					
2811086																					
2815879																					
2819167																					
2819242																					
2820604																					
2823221																					
2826017																					
2826316																					
2833882																					
2834759																					
2835103																					
2836306																					
2838207																					
2839053																					
2839790																					
2845755																					
2845782																					
2847085																					
2847142																					
2849285																					
2849463																					
2849801																					
2850722																					
2850768																					
2855866																					
2855978																					
2857600																					
2858492																					
2858960	18494	333788	2772	933616	0	1626674	2915344	301	2630	33	11445	0	883	0	15292	0	0	0	0	0	
2860039																					
2860271																					
2860459																					
2861317																					
2867337																					
2869162																					
2871099																					
2871558																					
2877345																					
2877484																					
2877831																					
2877840																					
2880019																					
2881445																					
2882983																					
2883971																					
2887399																					
2889227																					
2896216																					
2897633																					
2901558																					
2903123																					
2905761																					
2907019																					
2907439																					
2909330																					
2912750																					
2913702																					
2913887																					
2914268																					
2914727																					
2915461																					
2916534																					
2916963																					
2917184																					
2917317	1534439	2449034	4346723	2812846	0	364210	11507252	28053	13145	26422	58636	0	6518	0	132774	0	0	0	0	0	
2919423																					
2919898																					
2920287																					
2920773																					
2921211																					
2921622																					
2921659																					
2925620																					
